tahun;direktorat_id;nama_direktorat;kode_kegiatan;nama_kegiatan;kode_rincian_output;nama_rincian_output;jenis_output;komoditas_id;nama_komoditas;satuan_id;nama_satuan;kode_provinsi;nama_provinsi;kode_kabupaten;nama_kabupaten;jumlah_output;_raw_kegiatan_word;_raw_komoditas_nama;_raw_satuan_nama;;id_direktorat;nama_direktorat;;kode_rincian_output;kode_kegiatan;nama_kegiatan;nama_rincian_output;jenis_output;id_direktorat;;id_komoditas;nama;kd_kom;;id_satuan;nama_satuan;;key_kegiatan_komoditas;kode_rincian_output
2026;5;Direktorat Buah dan Florikultura;5886;Peningkatan Produksi Buah dan Florikultura;5886.RAI.012;Kawasan Durian;luas kawasan;5;Durian;1;HA;76;Sulawesi Barat;7605;Majene;75;Kawasan;Durian;Ha;;;;;;;;;;;;;;;;;;;;
2026;5;Direktorat Buah dan Florikultura;5886;Peningkatan Produksi Buah dan Florikultura;5886.RAI.012;Kawasan Durian;luas kawasan;5;Durian;1;HA;76;Sulawesi Barat;7602;Mamuju;25;Kawasan;Durian;Ha;;;;;;;;;;;;;;;;;;;;
2026;5;Direktorat Buah dan Florikultura;5886;Peningkatan Produksi Buah dan Florikultura;5886.RAI.012;Kawasan Durian;luas kawasan;5;Durian;1;HA;76;Sulawesi Barat;7604;Polewali Mandar;45;Kawasan;Durian;Ha;;;;;;;;;;;;;;;;;;;;
2026;5;Direktorat Buah dan Florikultura;5886;Peningkatan Produksi Buah dan Florikultura;5886.RAI.012;Kawasan Durian;luas kawasan;5;Durian;1;HA;73;Sulawesi Selatan;7303;Bantaeng;15;Kawasan;Durian;Ha;;;;;;;;;;;;;;;;;;;;
2026;5;Direktorat Buah dan Florikultura;5886;Peningkatan Produksi Buah dan Florikultura;5886.RAI.012;Kawasan Durian;luas kawasan;5;Durian;1;HA;73;Sulawesi Selatan;7311;Barru;30;Kawasan;Durian;Ha;;;;;;;;;;;;;;;;;;;;
2026;5;Direktorat Buah dan Florikultura;5886;Peningkatan Produksi Buah dan Florikultura;5886.RAI.012;Kawasan Durian;luas kawasan;5;Durian;1;HA;73;Sulawesi Selatan;7308;Bone;150;Kawasan;Durian;Ha;;;;;;;;;;;;;;;;;;;;
2026;5;Direktorat Buah dan Florikultura;5886;Peningkatan Produksi Buah dan Florikultura;5886.RAI.012;Kawasan Durian;luas kawasan;5;Durian;1;HA;73;Sulawesi Selatan;7302;Bulukumba;50;Kawasan;Durian;Ha;;;;;;;;;;;;;;;;;;;;
2026;5;Direktorat Buah dan Florikultura;5886;Peningkatan Produksi Buah dan Florikultura;5886.RAI.012;Kawasan Durian;luas kawasan;5;Durian;1;HA;73;Sulawesi Selatan;7373;Kota Palopo;50;Kawasan;Durian;Ha;;;;;;;;;;;;;;;;;;;;
2026;5;Direktorat Buah dan Florikultura;5886;Peningkatan Produksi Buah dan Florikultura;5886.RAI.012;Kawasan Durian;luas kawasan;5;Durian;1;HA;73;Sulawesi Selatan;7317;Luwu;50;Kawasan;Durian;Ha;;;;;;;;;;;;;;;;;;;;
2026;5;Direktorat Buah dan Florikultura;5886;Peningkatan Produksi Buah dan Florikultura;5886.RAI.012;Kawasan Durian;luas kawasan;5;Durian;1;HA;73;Sulawesi Selatan;7324;Luwu Timur;90;Kawasan;Durian;Ha;;;;;;;;;;;;;;;;;;;;
2026;5;Direktorat Buah dan Florikultura;5886;Peningkatan Produksi Buah dan Florikultura;5886.RAI.012;Kawasan Durian;luas kawasan;5;Durian;1;HA;73;Sulawesi Selatan;7322;Luwu Utara;130;Kawasan;Durian;Ha;;;;;;;;;;;;;;;;;;;;
2026;5;Direktorat Buah dan Florikultura;5886;Peningkatan Produksi Buah dan Florikultura;5886.RAI.012;Kawasan Durian;luas kawasan;5;Durian;1;HA;73;Sulawesi Selatan;7310;Pangkajene Kepulauan;20;Kawasan;Durian;Ha;;;;;;;;;;;;;;;;;;;;
2026;5;Direktorat Buah dan Florikultura;5886;Peningkatan Produksi Buah dan Florikultura;5886.RAI.012;Kawasan Durian;luas kawasan;5;Durian;1;HA;73;Sulawesi Selatan;7315;Pinrang;30;Kawasan;Durian;Ha;;;;;;;;;;;;;;;;;;;;
2026;5;Direktorat Buah dan Florikultura;5886;Peningkatan Produksi Buah dan Florikultura;5886.RAI.012;Kawasan Durian;luas kawasan;5;Durian;1;HA;73;Sulawesi Selatan;7314;Sidenreng Rappang;20;Kawasan;Durian;Ha;;;;;;;;;;;;;;;;;;;;
2026;5;Direktorat Buah dan Florikultura;5886;Peningkatan Produksi Buah dan Florikultura;5886.RAI.012;Kawasan Durian;luas kawasan;5;Durian;1;HA;73;Sulawesi Selatan;7307;Sinjai;15;Kawasan;Durian;Ha;;;;;;;;;;;;;;;;;;;;
2026;5;Direktorat Buah dan Florikultura;5886;Peningkatan Produksi Buah dan Florikultura;5886.RAI.012;Kawasan Durian;luas kawasan;5;Durian;1;HA;72;Sulawesi Tengah;7203;Donggala;100;Kawasan;Durian;Ha;;;;;;;;;;;;;;;;;;;;
2026;5;Direktorat Buah dan Florikultura;5886;Peningkatan Produksi Buah dan Florikultura;5886.RAI.012;Kawasan Durian;luas kawasan;5;Durian;1;HA;72;Sulawesi Tengah;7208;Parigi Moutong;50;Kawasan;Durian;Ha;;;;;;;;;;;;;;;;;;;;
2026;5;Direktorat Buah dan Florikultura;5886;Peningkatan Produksi Buah dan Florikultura;5886.RAI.012;Kawasan Durian;luas kawasan;5;Durian;1;HA;72;Sulawesi Tengah;7202;Poso;50;Kawasan;Durian;Ha;;;;;;;;;;;;;;;;;;;;
