tahun;kegiatan;komoditas;kode_provinsi;kode_kabupaten;kode_kecamatan;kode_desa;nama_provinsi;nama_kabupaten;nama_kecamatan;nama_desa;kelompok tani;jenis_output;satuan_output;realisasi_output
2026;Pekarangan Pangan Bergizi;P2B;32;3211;321111;3211112009;Jawa Barat;Sumedang;Tanjungsari;Pasigaran;KWT Srikandi Mukti;Kelompok;Kelompok;1
2026;Pekarangan Pangan Bergizi;P2B;32;3211;321118;3211182011;Jawa Barat;Sumedang;Sumedang Utara;Jatihurip;KEP Mekar Hurip;Kelompok;Kelompok;1
2026;Pekarangan Pangan Bergizi;P2B;15;1502;150220;1502202004;Jawa Barat;Sumedang;Sumedang Selatan;Kel. Cipameungpeuk;KWT Kartika;Kelompok;Kelompok;1
2026;Pekarangan Pangan Bergizi;P2B;32;3214;321417;3214172005;Jawa Barat;Purwakarta;Kiarapedes;Mekarjaya;Karya Mekar;Kelompok;Kelompok;1
2026;Pekarangan Pangan Bergizi;P2B;32;3214;321404;3214042008;Jawa Barat;Purwakarta;Plered;Rawasari;Kelompok Taruna Tani Bangkit;Kelompok;Kelompok;1
2026;Pekarangan Pangan Bergizi;P2B;32;3214;321411;3214112003;Jawa Barat;Purwakarta;Bojong;Cikeris;KWT Mojang Cikeris;Kelompok;Kelompok;1
2026;Pekarangan Pangan Bergizi;P2B;32;3214;321406;3214062008;Jawa Barat;Purwakarta;Darangdan;Linggamukti;KWT Mukti Rahayu;Kelompok;Kelompok;1
2026;Pekarangan Pangan Bergizi;P2B;32;3214;321413;3214132007;Jawa Barat;Purwakarta;Bungursari;Cinangka;Kelompok Taruna Tani Subur Berkah;Kelompok;Kelompok;1
2026;Pekarangan Pangan Bergizi;P2B;76;7604;760413;7604132003;Jawa Barat;Kota Depok;Cimanggis;Kelapa Dua;KWT RW 011;Kelompok;Kelompok;1
2026;Pekarangan Pangan Bergizi;P2B;32;3276;327607;3276071004;Jawa Barat;Kota Depok;Cipayung;Bojong Pokdok Terong;KWT Pulorida Indah;Kelompok;Kelompok;1
2026;Pekarangan Pangan Bergizi;P2B;32;3276;327605;3276051004;Jawa Barat;Kota Depok;Sukmajaya;Kmekar jaya;KWT Mekar Bestari;Kelompok;Kelompok;1
2026;Pekarangan Pangan Bergizi;P2B;32;3276;327601;3276011008;Jawa Barat;Kota Depok;Pancoran Mas;Pancoran Mas;Ladang Berkah;Kelompok;Kelompok;1
2026;Pekarangan Pangan Bergizi;P2B;32;3276;327609;3276091003;Jawa Barat;Kota Depok;Cinere;Pangkalan Jati;Anugerah;Kelompok;Kelompok;1
2026;Pekarangan Pangan Bergizi;P2B;65;6503;650302;6503022004;Kalimantan Utara;Nunukan;Nunukan;Binusan;KWT Cemara Apok;Kelompok;Kelompok;1
2026;Pekarangan Pangan Bergizi;P2B;65;6503;650302;6503022004;Kalimantan Utara;Nunukan;Nunukan;Binusan;KWT Mawar;Kelompok;Kelompok;1
2026;Pekarangan Pangan Bergizi;P2B;65;6503;650316;6503162001;Kalimantan Utara;Nunukan;Sembakung Atulai;Desa Lubok;KWT Dharma Wanita;Kelompok;Kelompok;1
2026;Pekarangan Pangan Bergizi;P2B;65;6503;650309;6503091004;Kalimantan Utara;Nunukan;Nunukan Selatan;Tanjung Harapan;Hijau Lestari;Kelompok;Kelompok;1
2026;Pekarangan Pangan Bergizi;P2B;65;6503;650309;6503091002;Kalimantan Utara;Nunukan;Nunukan Selatan;Nunukan Selatan;Konservasi Perbatasan;Kelompok;Kelompok;1
2026;Pekarangan Pangan Bergizi;P2B;76;7604;760401;7604012008;Sulawesi Barat;Polewali Mandar;Tinambung;Sepa Batu;KWT Litaq Mandar;Kelompok;Kelompok;1
2026;Pekarangan Pangan Bergizi;P2B;76;7604;760401;7604012004;Sulawesi Barat;Polewali Mandar;Tinambung;Lekopadis;KWT Sutera Lawarang;Kelompok;Kelompok;1
2026;Pekarangan Pangan Bergizi;P2B;76;7604;760401;7604012004;Sulawesi Barat;Polewali Mandar;Tinambung;Lekopadis;KWT Harapanku;Kelompok;Kelompok;1
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
